event_id,session_id,session_date,session_type,opponent,game_minute,shooter_role,shot_type,velocity_kmh,target_y,target_z,reaction_time_ms,acceleration_g,technique,heart_rate,outcome
evt_00001,S_001,2023-09-04,GAME,PÓVOA AC,1,LW,7M,97,0.21,0.25,430,3.34,BASIC,132,GOAL
evt_00002,S_001,2023-09-04,GAME,PÓVOA AC,1,RB,LOB,89,0.26,0.48,396,3.39,BASIC,121,GOAL
evt_00003,S_001,2023-09-04,GAME,PÓVOA AC,3,LB,LOB,104,0.13,0.43,456,1.91,SPLIT,148,GOAL
evt_00004,S_001,2023-09-04,GAME,PÓVOA AC,5,CB,7M,102,0.18,0.32,445,3.15,SPLIT,141,GOAL
evt_00005,S_001,2023-09-04,GAME,PÓVOA AC,6,RB,BOUNCE,75,0.37,0.26,394,2.53,SPLIT,128,GOAL
evt_00006,S_001,2023-09-04,GAME,PÓVOA AC,8,LB,7M,100,1.03,1.28,267,5.22,BASIC,142,SAVE
evt_00007,S_001,2023-09-04,GAME,PÓVOA AC,10,PV,JUMP,73,1.84,1.06,326,2.09,BASIC,129,MISS
evt_00008,S_001,2023-09-04,GAME,PÓVOA AC,11,RW,LOB,80,0.17,1.83,422,2.13,BASIC,126,GOAL
evt_00009,S_001,2023-09-04,GAME,PÓVOA AC,13,LW,LOB,78,2.53,1.84,342,1.15,SPLIT,146,GOAL
evt_00010,S_001,2023-09-04,GAME,PÓVOA AC,15,PV,LOB,87,2.83,1.8,435,3.2,BASIC,156,GOAL
evt_00011,S_001,2023-09-04,GAME,PÓVOA AC,16,RW,BOUNCE,70,2.63,1.56,494,1.09,BASIC,145,GOAL
evt_00012,S_001,2023-09-04,GAME,PÓVOA AC,18,LB,7M,104,2.81,1.85,397,2.96,BASIC,153,GOAL
evt_00013,S_001,2023-09-04,GAME,PÓVOA AC,20,CB,LOB,71,0.29,0.25,460,2.05,SPLIT,154,GOAL
evt_00014,S_001,2023-09-04,GAME,PÓVOA AC,21,LB,BOUNCE,104,0.33,1.79,334,2.26,BASIC,157,GOAL
evt_00015,S_001,2023-09-04,GAME,PÓVOA AC,23,PV,7M,90,2.71,1.61,394,1.67,BASIC,159,GOAL
evt_00016,S_001,2023-09-04,GAME,PÓVOA AC,25,LW,7M,84,2.42,1.03,271,4.14,STAR,145,SAVE
evt_00017,S_001,2023-09-04,GAME,PÓVOA AC,26,RW,JUMP,84,0.13,1.55,439,1.71,BASIC,160,GOAL
evt_00018,S_001,2023-09-04,GAME,PÓVOA AC,28,PV,JUMP,71,0.31,0.27,414,2.13,SPLIT,150,GOAL
evt_00019,S_001,2023-09-04,GAME,PÓVOA AC,30,LB,LOB,81,0.3,0.27,393,2.54,BASIC,157,GOAL
evt_00020,S_001,2023-09-04,GAME,PÓVOA AC,31,RW,LOB,81,1.84,0.81,237,4.4,SPLIT,159,SAVE
evt_00021,S_001,2023-09-04,GAME,PÓVOA AC,33,PV,BOUNCE,92,2.81,0.26,425,3.28,SPLIT,140,GOAL
evt_00022,S_001,2023-09-04,GAME,PÓVOA AC,35,LB,BOUNCE,104,2.69,1.82,373,1.78,SPLIT,159,GOAL
evt_00023,S_001,2023-09-04,GAME,PÓVOA AC,36,RW,JUMP,100,1.86,0.77,276,4.9,KICK,151,SAVE
evt_00024,S_001,2023-09-04,GAME,PÓVOA AC,38,LW,BOUNCE,110,2.84,0.46,435,2.02,SPLIT,171,GOAL
evt_00025,S_001,2023-09-04,GAME,PÓVOA AC,40,CB,BOUNCE,106,1.48,1.44,215,4.0,KICK,148,SAVE
evt_00026,S_001,2023-09-04,GAME,PÓVOA AC,41,LB,LOB,88,0.12,1.64,327,2.62,BASIC,167,GOAL
evt_00027,S_001,2023-09-04,GAME,PÓVOA AC,43,RW,LOB,73,0.38,0.14,402,1.89,SPLIT,158,GOAL
evt_00028,S_001,2023-09-04,GAME,PÓVOA AC,45,PV,JUMP,107,2.84,0.47,307,1.64,BASIC,149,GOAL
evt_00029,S_001,2023-09-04,GAME,PÓVOA AC,46,RB,JUMP,76,1.75,0.64,274,5.9,STAR,158,SAVE
evt_00030,S_001,2023-09-04,GAME,PÓVOA AC,48,RW,7M,91,0.82,0.81,233,5.97,STAR,178,SAVE
evt_00031,S_001,2023-09-04,GAME,PÓVOA AC,50,LW,7M,70,2.62,0.2,435,1.78,SPLIT,178,GOAL
evt_00032,S_001,2023-09-04,GAME,PÓVOA AC,51,LB,BOUNCE,101,0.34,0.43,428,2.14,BASIC,166,GOAL
evt_00033,S_001,2023-09-04,GAME,PÓVOA AC,53,CB,LOB,85,2.28,0.86,229,5.51,SPLIT,150,SAVE
evt_00034,S_001,2023-09-04,GAME,PÓVOA AC,55,CB,7M,75,2.35,1.2,308,2.42,BASIC,173,MISS
evt_00035,S_001,2023-09-04,GAME,PÓVOA AC,56,LB,BOUNCE,109,2.69,0.29,375,3.34,SPLIT,177,GOAL
evt_00036,S_001,2023-09-04,GAME,PÓVOA AC,58,LW,7M,105,1.64,0.91,232,5.2,SPLIT,160,SAVE
evt_00037,S_002,2023-09-08,GAME,ARSENAL,1,RB,BOUNCE,87,2.28,0.74,211,4.28,SPLIT,137,SAVE
